,name,R,Z,coil_pair
14,p1_inner,0.17549942,1.5132425,p1
14,p1_inner,0.17549944,1.4752426,p1
14,p1_inner,0.17549944,1.4372429,p1
14,p1_inner,0.17549945,1.3992431,p1
14,p1_inner,0.17549945,1.3612434,p1
14,p1_inner,0.17549947,1.3232436,p1
14,p1_inner,0.17549947,1.2852437,p1
14,p1_inner,0.17549948,1.247244,p1
14,p1_inner,0.17549948,1.2092443,p1
14,p1_inner,0.17549948,1.1712445,p1
14,p1_inner,0.1754995,1.1332448,p1
14,p1_inner,0.1754995,1.0952449,p1
14,p1_inner,0.17549951,1.0572451,p1
14,p1_inner,0.17549951,1.0192454,p1
14,p1_inner,0.17549951,0.98124564,p1
14,p1_inner,0.17549953,0.9432458,p1
14,p1_inner,0.17549953,0.9052461,p1
14,p1_inner,0.17549953,0.8672463,p1
14,p1_inner,0.17549953,0.8292465,p1
14,p1_inner,0.17549954,0.7912468,p1
14,p1_inner,0.17549954,0.75324696,p1
14,p1_inner,0.17549954,0.7152472,p1
14,p1_inner,0.17549954,0.67724746,p1
14,p1_inner,0.17549962,0.6392477,p1
14,p1_inner,0.17549956,0.6012479,p1
14,p1_inner,0.17549956,0.5632481,p1
14,p1_inner,0.17549956,0.52524835,p1
14,p1_inner,0.17549956,0.48724854,p1
14,p1_inner,0.17549956,0.44924876,p1
14,p1_inner,0.17549956,0.411249,p1
14,p1_inner,0.17549956,0.37324923,p1
14,p1_inner,0.17549956,0.33524945,p1
14,p1_inner,0.17549956,0.29724967,p1
14,p1_inner,0.17549957,0.25924993,p1
14,p1_inner,0.17549957,0.22125015,p1
14,p1_inner,0.17549957,0.18325037,p1
14,p1_inner,0.17549956,0.1452506,p1
14,p1_inner,0.17549956,0.10725083,p1
14,p1_inner,0.17549956,0.06925106,p1
14,p1_inner,0.17549956,0.031251285,p1
14,p1_inner,0.17549956,-0.0067484872,p1
14,p1_inner,0.17549956,-0.044748258,p1
14,p1_inner,0.17549956,-0.082748026,p1
14,p1_inner,0.17549956,-0.1207478,p1
14,p1_inner,0.17549956,-0.15874758,p1
14,p1_inner,0.17549956,-0.19674735,p1
14,p1_inner,0.17549956,-0.23474713,p1
14,p1_inner,0.17549954,-0.2727469,p1
14,p1_inner,0.17549954,-0.31074667,p1
14,p1_inner,0.17549954,-0.34874645,p1
14,p1_inner,0.17549954,-0.38674623,p1
14,p1_inner,0.17549953,-0.42474598,p1
14,p1_inner,0.17549953,-0.46274576,p1
14,p1_inner,0.17549953,-0.50074553,p1
14,p1_inner,0.17549953,-0.5387453,p1
14,p1_inner,0.17549951,-0.57674503,p1
14,p1_inner,0.17549951,-0.61474484,p1
14,p1_inner,0.17549951,-0.6527446,p1
14,p1_inner,0.1754995,-0.69074434,p1
14,p1_inner,0.1754995,-0.72874415,p1
14,p1_inner,0.17549948,-0.7667439,p1
14,p1_inner,0.17549948,-0.8047437,p1
14,p1_inner,0.17549948,-0.84274346,p1
14,p1_inner,0.17549947,-0.8807432,p1
14,p1_inner,0.17549947,-0.918743,p1
14,p1_inner,0.17549945,-0.95674276,p1
14,p1_inner,0.17549945,-0.9947425,p1
14,p1_inner,0.17549944,-1.0327423,p1
14,p1_inner,0.17549944,-1.0707421,p1
14,p1_inner,0.17549942,-1.1087419,p1
14,p1_inner,0.17549942,-1.1467416,p1
14,p1_inner,0.17549941,-1.1847414,p1
14,p1_inner,0.1754994,-1.2227411,p1
14,p1_inner,0.1754994,-1.260741,p1
14,p1_inner,0.17549938,-1.2987407,p1
14,p1_inner,0.17549944,-1.3367404,p1
14,p1_inner,0.17549936,-1.3747402,p1
14,p1_inner,0.17549935,-1.41274,p1
14,p1_inner,0.17549935,-1.4507399,p1
14,p1_inner,0.17549933,-1.4887396,p1
14,p1_inner,0.17549935,-1.5267394,p1
14,p1_inner,0.17549953,1.5322423,p1
14,p1_inner,0.17549942,1.4942425,p1
